DESCRIPCION,CODIGO_ETAPA,DURACION_HORAS,bigrams
Ejecucion prueba modulo 9,PRSIS,2.0,"{'modulo 9', 'Ejecucion probar', 'probar modulo'}"
Ejecucion prueba modulo 9,PRSIS,2.0,"{'modulo 9', 'Ejecucion probar', 'probar modulo'}"
Ejecucion prueba modulo 9,PRSIS,3.0,"{'modulo 9', 'Ejecucion probar', 'probar modulo'}"
Daily ASW,APSEG,0.25,{'Daily ASW'}
Revisión de la Ejecución de la planeación,APSEG,1.0,"{'Ejecución planeación', 'Revisión Ejecución'}"
Actividad  9. Usar paquete que envíe correo de confirmacion a solicitante y gestor.,COAJU,0.5,"{'solicitante gestor', '  9', '9 paquete', 'Actividad  ', 'envíar correo', 'paquete envíar', 'confirmacion solicitante', 'correo confirmacion'}"
Actividad  9. Usar paquete que envíe correo de confirmacion a solicitante y gestor.,COAJU,4.0,"{'solicitante gestor', '  9', '9 paquete', 'Actividad  ', 'envíar correo', 'paquete envíar', 'confirmacion solicitante', 'correo confirmacion'}"
Validacion y acompañamiento generacion de las prefacturas,APSEG,1.0,"{'Validacion acompañamiento', 'generacion prefactura', 'acompañamiento generacion'}"
Revisar prefactura de proyectos junto a Valentina Sanabria,APSEG,1.0,"{'proyecto Valentina', 'prefactura proyecto', 'Revisar prefactura', 'Valentina Sanabria'}"
se realiza reunión con tatiana con el fin de diligenciar estado del proyecto austeridad para presentación a ing julio,APSEG,1.0,"{'ing julio', 'reunión tatiana', 'realizar reunión', 'diligenciar proyecto', 'proyecto austeridad', 'austeridad presentación', 'tatiana diligenciar', 'presentación ing'}"
"Se realizan dailys de PAD,REDEC;AUSTERIDAD;Sobretasa, SUPPT e interno",APSEG,2.5,"{'realizar daily', 'daily PAD', 'REDEC;AUSTERIDAD;Sobretasa SUPPT', 'PAD REDEC;AUSTERIDAD;Sobretasa', 'SUPPT interno'}"
se realiza reunión para revisión de actas de demanda julio y agosto,APSEG,2.0,"{'acta demanda', 'demanda julio', 'julio agosto', 'reunión revisión', 'revisión acta', 'realizar reunión'}"
inclusión de links en informe  bimensual,APSEG,2.5,"{'informir  ', '  bimensual', 'inclusión link', 'link informir'}"
Realizar ADM /// seguimiento a artefactos de control.,APSEG,2.0,"{'ADM seguimiento', 'artefacto control', 'seguimiento artefacto'}"
Realizar ajustes de estimación de CO_1024_Estimacion_Construcción de redacción VD_HU_4.1.1_Visualizar el documento y registrar resultado de la validación /// CO_1024_Estimacion_Construcción de CO_964_VD_HU_3.2.1_Ver lista de documentos y detalle del documento /// CO_1024_Estimacion_Construcción de CO_964_DTJ_HU_4.8.1_Migrar y parametrizar la carga de plantilla DTJ y creación masiva de predios /// CO_1024_Estimacion_Construcción de CO_964_DTJ_HU_11.4.1_Tramitar UIT,ASEJE,2.0,"{'estimación CO_1024_Estimacion_Construcción', 'predio CO_1024_Estimacion_Construcción', 'CO_1024_Estimacion_Construcción redacción', 'CO_1024_Estimacion_Construcción CO_964_VD_HU_3.2.1_Ver', 'parametrizar carga', 'validación CO_1024_Estimacion_Construcción', 'redacción vd_hu_4.1.1_visualizar', 'co_964_dtj_hu_4.8.1_migrar parametrizar', 'registrar resultado', 'detalle documento', 'documento registrar', 'CO_964_DTJ_HU_11.4.1_Tramitar UIT', 'vd_hu_4.1.1_visualizar documento', 'ajuste estimación', 'resultado validación', 'documento CO_1024_Estimacion_Construcción', 'CO_964_VD_HU_3.2.1_Ver lista', 'masivo predio', 'lista documento', 'CO_1024_Estimacion_Construcción co_964_dtj_hu_4.8.1_migrar', 'carga plantilla', 'creación masivo', 'documento detalle', 'CO_1024_Estimacion_Construcción CO_964_DTJ_HU_11.4.1_Tramitar', 'DTJ creación', 'plantilla DTJ'}"
Se realizan pruebas de la boletera en el ambiente de flecha amarilla,ASEJE,2.0,"{'ambiente flecha', 'realizar prueba', 'boletera ambiente', 'flecha amarillo', 'prueba boletera'}"
"Soporte inconsistencias por diferencias en Totales, generación informes de 396 y Control OMM",PRSIS,3.0,"{'inconsistencia diferencia', 'generación informe', 'Totales generación', 'Soporte inconsistencia', 'Control OMM', '396 Control', 'diferencia Totales', 'informe 396'}"
"Ajuste información daviplata fuente Core, cargues a Staga tributario y a Cuentas exogena",PRSIS,3.0,"{'cargu Staga', 'Ajuste información', 'Staga tributario', 'Cuentas exogena', 'tributario Cuentas', 'daviplata fuente', 'información daviplata', 'Core cargu', 'fuente Core'}"
"Regresión de bugs reportados en ambiente de pruebas, no se replican los bugs, se envía correo con evidencia y se rechazan los bugs",PRSIS,2.0,"{'correo evidencia', 'bugs reportados', 'Regresión bugs', 'evidencia rechazar', 'replicar bugs', 'rechazar bugs', 'reportados ambiente', 'envíar correo', 'prueba replicar', 'ambiente prueba', 'bugs envíar'}"
Planning Sprint Ticket#2022083010397205 — Reporte y reenvió Capa Intermedia-Legados,PRSIS,1.0,"{'Sprint Ticket#2022083010397205', 'Planning Sprint', 'Capa Intermedia-Legados', 'Reporte reenveír', 'Ticket#2022083010397205 Reporte', 'reenveír Capa'}"
revision de habeas data hu 47,COAJU,3.0,"{'hu 47', 'revision habeas', 'habeas datar', 'datar hu'}"
Ejecutar pruebas funcionales CU-11,PRSIS,2.0,"{'funcional CU-11', 'ejecutar prueba', 'prueba funcional'}"
