DESCRIPCION,CODIGO_ETAPA,DURACION_HORAS,bigrams
Ajustes de consultas,COAJU,1.5,{'ajuste consulta'}
"Alianza, entrevista Samir
Segimiento equipo de Cislead
Alianza seguimiento con Juan Sebastian ",APSEG,3.0,"{'Alianza seguimientir', 'Alianza entrevista', 'Samir \r\n', 'Juan Sebastian', 'Segimiento equipo', '\r\n Alianza', 'entrevista Samir', 'seguimientir Juan', '\r\n Segimiento', 'Cislead \r\n', 'equipo Cislead'}"
Ejecución de casos de prueba de la hu 908,PRSIS,2.0,"{'hu 908', 'caso prueba', 'ejecución caso', 'prueba hu'}"
"Ejecución de casos de prueba de la hu 908, 14 casos ejecutados",PRSIS,1.5,"{'908 14', 'caso prueba', 'caso ejecutado', 'hu 908', 'ejecución caso', '14 caso', 'prueba hu'}"
Pruebas de confirmación Bugs resueltos control de cambio hu11.5.1,PRSIS,2.0,"{'Bugs resuelto', 'confirmación Bugs', 'resuelto control', 'cambio hu11.5.1', 'control cambio', 'Pruebas confirmación'}"
QA Ciclo 2,PRSIS,2.02,"{'Ciclo 2', 'qa Ciclo'}"
Sección Seed Revisión Bug,PRSIS,1.5,"{'Revisión Bug', 'Sección Seed', 'Seed Revisión'}"
QA Ciclo 1,PRSIS,2.5,"{'Ciclo 1', 'qa Ciclo'}"
Apoyo a Pruebas CV Business,PRSIS,2.0,"{'Pruebas CV', 'apoyo Pruebas', 'CV Business'}"
HU Observaciones y Servicios Verificación,PRSIS,2.0,"{'HU Observaciones', 'Observaciones Servicios', 'Servicios Verificación'}"
HU Observaciones y Servicios Verificación,PRSIS,2.0,"{'HU Observaciones', 'Observaciones Servicios', 'Servicios Verificación'}"
HU Observaciones y Servicios Verificación,PRSIS,2.5,"{'HU Observaciones', 'Observaciones Servicios', 'Servicios Verificación'}"
Daily ASW,APSEG,0.25,{'Daily ASW'}
Daily ASW,APSEG,0.25,{'Daily ASW'}
Daily ASW,APSEG,0.25,{'Daily ASW'}
Daily ASW,APSEG,0.25,{'Daily ASW'}
Daily ASW,APSEG,0.25,{'Daily ASW'}
Seguimietno revision formatos avances,APSEG,0.25,"{'Seguimietno revision', 'formato avanz', 'revision formato'}"
Seguimiento desarrollo CTO,APSEG,0.5,"{'Seguimiento desarrollo', 'desarrollo CTO'}"
Limpieza de codigo propuesto por sonarQube,COAJU,3.0,"{'codigo propuesto', 'Limpieza codigo', 'propuesto sonarQube'}"
Limpieza de codigo propuesto por sonarQube,COAJU,2.0,"{'codigo propuesto', 'Limpieza codigo', 'propuesto sonarQube'}"
Limpieza de codigo propuesto por sonarQube,COAJU,3.0,"{'codigo propuesto', 'Limpieza codigo', 'propuesto sonarQube'}"
Bug 209090: PA_CC_47_ NO SE GENERAN ALARMAS DE IMPRESORA,COAJU,2.0,"{'PA_CC_47 generan', 'ALARMAS impresora', 'generan ALARMAS', 'Bug 209090', '209090 PA_CC_47'}"
Bug 209093: PA_CC_15 NO ESTA MOSTRANDO EL INICIO DE LA ALARMA,COAJU,2.0,"{'mostrando inicio', 'Bug 209093', 'PA_CC_15 mostrando', '209093 PA_CC_15', 'inicio ALARMA'}"
revisión con jason de bug por desconexión de bd,COAJU,1.25,"{'desconexión bd', 'bug desconexión', 'jason bug', 'revisión jason'}"
Seguimiento de actividades,ASEJE,0.5,{'Seguimiento actividad'}
Reunion - Onbase ambiente de desarrollo,ASEJE,0.25,"{'ambiente desarrollo', 'Onbase ambiente', 'Reunion Onbase'}"
"Se ejecutan pruebas de las HU 106 y 107, correspondientes a la epica 3",PRSIS,3.0,"{'107 correspondiente', 'ejecutar prueba', 'correspondiente epico', 'epico 3', 'prueba HU', '106 107', 'HU 106'}"
"Se ejecutan pruebas de las HU 106 y 107, correspondientes a la epica 3",PRSIS,2.0,"{'107 correspondiente', 'ejecutar prueba', 'correspondiente epico', 'epico 3', 'prueba HU', '106 107', 'HU 106'}"
"Se ejecutan pruebas de las HU 106 y 107, correspondientes a la epica 3",PRSIS,3.0,"{'107 correspondiente', 'ejecutar prueba', 'correspondiente epico', 'epico 3', 'prueba HU', '106 107', 'HU 106'}"
se trabaja en casos de motos en parametrización de reportes logs,COAJU,2.0,"{'report logs', 'moto parametrización', 'caso moto', 'parametrización report', 'trabajar caso'}"
se trabaja en casos de motos en parametrización de reportes logs,COAJU,2.0,"{'report logs', 'moto parametrización', 'caso moto', 'parametrización report', 'trabajar caso'}"
se trabaja en casos de motos en parametrización de reportes logs,COAJU,2.0,"{'report logs', 'moto parametrización', 'caso moto', 'parametrización report', 'trabajar caso'}"
se trabaja en casos de motos en parametrización de reportes logs,COAJU,2.0,"{'report logs', 'moto parametrización', 'caso moto', 'parametrización report', 'trabajar caso'}"
CUSISDET2VFE10NC- Creación e implementación de métodos para creación de XML,APSEG,3.0,"{'implementación método', 'creación XML', 'Creación implementación', 'cusisdet2vfe10nc- Creación', 'método creación'}"
CUSISDET2VFE10NC- Creación e implementación de métodos para creación de XML,APSEG,2.0,"{'implementación método', 'creación XML', 'Creación implementación', 'cusisdet2vfe10nc- Creación', 'método creación'}"
CUSISDET2VFE10NC- Creación e implementación de métodos para creación de XML,APSEG,1.0,"{'implementación método', 'creación XML', 'Creación implementación', 'cusisdet2vfe10nc- Creación', 'método creación'}"
Reunión implementación campos XML ND y NC,APSEG,2.0,"{'XML ND', 'implementación campo', 'ND NC', 'reunión implementación', 'campo XML'}"
Ajuste tarjetas de HU.6,PRSIS,0.5,"{'tarjeta HU.6', 'Ajuste tarjeta'}"
Pruebas funcionales HU 94,PRSIS,1.0,"{'HU 94', 'funcional HU', 'prueba funcional'}"
Daily,APSEG,0.5,set()
ejecución pruebas modulo 8,PRSIS,2.0,"{'prueba modulo', 'ejecución prueba', 'modulo 8'}"
ejecución pruebas modulo 8,PRSIS,2.0,"{'prueba modulo', 'ejecución prueba', 'modulo 8'}"
ejecución pruebas modulo 8,PRSIS,2.0,"{'prueba modulo', 'ejecución prueba', 'modulo 8'}"
ejecución pruebas modulo 8,PRSIS,2.0,"{'prueba modulo', 'ejecución prueba', 'modulo 8'}"
ejecución pruebas modulo 8,PRSIS,2.0,"{'prueba modulo', 'ejecución prueba', 'modulo 8'}"
Se realizan pruebas de PSE en DEV para validación de errores TOA y RS500,PRSIS,2.0,"{'prueba PSE', 'realizar prueba', 'PSE DEV', 'error TOA', 'TOA RS500', 'validación error', 'DEV validación'}"
Se realizan pruebas de PSE en UAT para validación de errores TOA y RS500,PRSIS,3.0,"{'prueba PSE', 'PSE UAT', 'realizar prueba', 'TOA RS500', 'error TOA', 'validación error', 'UAT validación'}"
"Se continúa la revisión, ajustes y pruebas del desarrollo de la VM Relacionados para circular 027, desarrollo realizado por Rodrigo",PRSIS,3.0,"{'desarrollo VM', 'VM Relacionados', 'continúar revisión', 'prueba desarrollo', 'desarrollo Rodrigo', 'Relacionados circular', '027 desarrollo', 'circular 027', 'revisión ajuste', 'ajuste prueba'}"
"Se continúa la revisión, ajustes y pruebas del desarrollo de la VM Relacionados para circular 027, desarrollo realizado por Rodrigo",PRSIS,2.0,"{'desarrollo VM', 'VM Relacionados', 'continúar revisión', 'prueba desarrollo', 'desarrollo Rodrigo', 'Relacionados circular', '027 desarrollo', 'circular 027', 'revisión ajuste', 'ajuste prueba'}"
Sesión de planeación con el equipo de trabajo.,ASEJE,2.0,"{'sesión planeación', 'planeación equipo', 'equipo trabajo'}"
Daily Davivienda defecto y vulnerabilidad del robo de sesión,APSEG,0.33,"{'vulnerabilidad robo', 'robo sesión', 'Davivienda defecto', 'Daily Davivienda', 'defecto vulnerabilidad'}"
Daily Davivienda defecto y vulnerabilidad del robo de sesión,APSEG,0.33,"{'vulnerabilidad robo', 'robo sesión', 'Davivienda defecto', 'Daily Davivienda', 'defecto vulnerabilidad'}"
Verificación del módulo 11 en QA,PRSIS,2.0,"{'11 qa', 'Verificación módulo', 'módulo 11'}"
Presentación al cliente de modulo 11 y 10,PRSIS,2.0,"{'modulo 11', 'presentación cliente', '11 10', 'cliente modulo'}"
Pruebas de módulo 11,PRSIS,3.0,"{'módulo 11', 'prueba módulo'}"
Revisión de archivo de bugs,PRSIS,1.0,"{'archivo bugs', 'Revisión archivo'}"
MDSB-254410/CC_7278: Compilación y generación del archivo del paquete modificado,COAJU,0.5,"{'paquete modificado', 'generación archivo', 'mdsb-254410 CC_7278', 'archivo paquete', 'Compilación generación', 'CC_7278 Compilación'}"
Seguimiento de avances de los proyectos y planeación de actividades diarias.,APSEG,4.0,"{'Seguimiento avance', 'planeación actividad', 'avance proyecto', 'proyecto planeación', 'actividad diario'}"
DAily; reunion de seguimiento con cliente; gestión proyecto,APSEG,4.0,"{'gestión proyecto', 'seguimiento cliente', 'cliente gestión', 'DAily reunion', 'reunion seguimiento'}"
Reunión con Otto R; envio de informe pendientes por factura a Otto R; seguimiento SAC,APSEG,3.0,"{'R seguimiento', 'Reunión Otto', 'Otto R', 'envio informe', 'factura Otto', 'pendiente factura', 'R envio', 'seguimiento SAC', 'informe pendiente'}"
Daily de seguimiento equipo de desarrollo Asesoftware,APSEG,0.67,"{'equipo desarrollo', 'Daily seguimiento', 'seguimiento equipo', 'desarrollo Asesoftware'}"
Reunión Seguimiento Semanal Proyectos SIIF Nación y Validador Facturación Electrónica,APSEG,1.0,"{'Semanal Proyectos', 'Seguimiento Semanal', 'Facturación Electrónica', 'Validador Facturación', 'Reunión Seguimiento', 'Nación Validador', 'SIIF Nación', 'Proyectos SIIF'}"
ajustes a desarrollo,COAJU,3.0,{'ajuste desarrollo'}
ajustes a desarrollo,COAJU,2.0,{'ajuste desarrollo'}
ajustes a desarrollo,COAJU,3.0,{'ajuste desarrollo'}
Daily reunion am,APSEG,0.5,"{'reunion am', 'Daily reunion'}"
Reunion semanal de proyecto,APSEG,0.75,"{'semanal proyecto', 'Reunion semanal'}"
Realizar Ayudas de Memoria (CO_1020),APSEG,2.0,"{'Memoria CO_1020', 'Ayudas Memoria'}"
Seguimiento a artefacto de grabaciones y actas con control de cambio,ASEJE,1.5,"{'grabación acta', 'control cambio', 'seguimientir artefacto', 'acta control', 'artefacto grabación'}"
Seguimiento a horas reportadas /// Actualizar Actas para facturación,ASEJE,1.5,"{'hora reportada', 'reportada Actualizar', 'seguimientir hora', 'Actualizar Actas', 'Actas facturación'}"
Sesión SEED Entrega despliegue y Pruebas.,PRSIS,2.0,"{'Entrega despliegue', 'sesión SEED', 'SEED Entrega', 'despliegue Pruebas'}"
Sesión Evolutec Entrega Despliegue y Pruebas.,PRSIS,2.0,"{'Sesión Evolutec', 'Despliegue Pruebas', 'Evolutec Entrega', 'Entrega Despliegue'}"
Smoke test.,PRSIS,2.98,{'Smoke test'}
QA Ciclo 2,PRSIS,2.0,"{'Ciclo 2', 'qa Ciclo'}"
Sección Evolutec,PRSIS,2.02,{'Sección Evolutec'}
Ajuste en producto 370 para error al generar endosos,COAJU,2.0,"{'producto 370', 'Ajuste producto', 'generar endoso', '370 error', 'error generar'}"
seguimiento al paquete vida_gr_gen para cambios en el portafolio de vida grupo y continuación de seguimiento al paquete vida_gr_gen,COAJU,3.0,"{'grupo continuación', 'vida_gr_gen cambio', 'continuación seguimiento', 'cambio portafolio', 'portafolio vida', 'paquete vida_gr_gen', 'seguimiento paquete', 'vida grupo'}"
Apoyo ProColombia,ASEJE,3.0,{'Apoyo procolombiar'}
Apoyo ProColombia,ASEJE,1.0,{'Apoyo procolombiar'}
Programa de cierre de proyectos,APSEG,3.0,"{'Programa cierre', 'cierre proyecto'}"
Ajuste y pruebas con Back de números decimales en la TRM al momento de enviar USD a EUR,ASEJE,4.0,"{'Back número', 'prueba Back', 'USD EUR', 'decimal TRM', 'momento enviar', 'Ajuste prueba', 'TRM momento', 'número decimal', 'enviar USD'}"
Ajuste y pruebas con Back de números decimales en la TRM al momento de enviar USD a EUR,ASEJE,4.0,"{'Back número', 'prueba Back', 'USD EUR', 'decimal TRM', 'momento enviar', 'Ajuste prueba', 'TRM momento', 'número decimal', 'enviar USD'}"
Programa de cierre de proyectos,APSEG,3.0,"{'Programa cierre', 'cierre proyecto'}"
Programa de cierre de proyectos,APSEG,3.0,"{'Programa cierre', 'cierre proyecto'}"
Somoke test.,PRSIS,1.67,{'Somoke test'}
Daily,PRSIS,0.5,set()
Pruebas funcionales hu 33,PRSIS,3.0,"{'hu 33', 'funcional hu', 'prueba funcional'}"
Ejecutar 2 casos de prueba de cambio estado que estaban pendientes,PRSIS,0.5,"{'cambio pendiente', 'caso prueba', 'ejecutar 2', '2 caso', 'prueba cambio'}"
Ejecución pruebas modulo 9,PRSIS,2.0,"{'modulo 9', 'Ejecución pruebas', 'pruebas modulo'}"
Ejecución pruebas modulo 9,PRSIS,2.0,"{'modulo 9', 'Ejecución pruebas', 'pruebas modulo'}"
Ejecución pruebas modulo 9,PRSIS,2.0,"{'modulo 9', 'Ejecución pruebas', 'pruebas modulo'}"
Ejecución pruebas modulo 9,PRSIS,2.0,"{'modulo 9', 'Ejecución pruebas', 'pruebas modulo'}"
Sprint Retrospective,PRSIS,2.5,{'Sprint Retrospective'}
"solucion buugs Bug 205904: PA_HU_095_Funcionalidad: la columna 'RUTA', no está mostrando el 'CODIGO_SECTOR + “VIAJE” + número del viaje y trabajo sobre delay en MQTT",COAJU,2.0,"{'VIAJE +', 'mostrar CODIGO_SECTOR', 'RUTA mostrar', 'trabajo delay', 'buugs Bug', 'CODIGO_SECTOR +', 'número viaje', 'Bug 205904', '+ número', 'solucion buugs', 'pa_hu_095_funcionalidad columna', '+ VIAJE', 'viaje trabajo', '205904 pa_hu_095_funcionalidad', 'delay MQTT', 'columna RUTA'}"
Reunión Seguimiento Proyectos ITEM-2 y Revisión Proceso Desarrollo VFE,APSEG,1.0,"{'ITEM-2 Revisión', 'Proceso Desarrollo', 'Reunión Seguimiento', 'Proyectos ITEM-2', 'Seguimiento Proyectos', 'Desarrollo VFE', 'Revisión Proceso'}"
Reunión de entrega de pruebas automatizadas,PRSIS,1.0,"{'prueba automatizada', 'entrega prueba', 'Reunión entrega'}"
Revisión de exportar documentos en PDF y Excel,COAJU,1.0,"{'PDF Excel', 'documento PDF', 'exportar documento', 'revisión exportar'}"
Solución de bugs de garantía de mensaje de autorización. y Cuestiones con bases de Datos,COAJU,1.5,"{'mensaje autorización', 'garantía mensaje', 'Solución bugs', 'autorización Cuestiones', 'base Datos', 'Cuestiones base', 'bugs garantía'}"
"Revisión de que no se subieron algunos cambios, realizando las debidas correcciones.",COAJU,0.5,"{'cambio realizar', 'Revisión subir', 'realizar debido', 'subir cambio', 'debido corrección'}"
"Buggs que se presentaron en temas responsive de la HU_094, solución de parte de estos bugs.",COAJU,1.33,"{'solución bugs', 'HU_094 solución', 'responsivir HU_094', 'Buggs presentar', 'tema responsivir', 'presentar tema'}"
Realizando parte de la lógica del archivo excel,COAJU,0.67,"{'lógica archivo', 'realizar lógica', 'archivo excel'}"
smoke test Review,PRSIS,1.5,"{'test Review', 'smoke test'}"
QA Ciclo 2,PRSIS,2.0,"{'Ciclo 2', 'qa Ciclo'}"
208369 Reunión de seguimiento diario con el equipo de trabajo. Registro de actividades,APSEG,0.5,"{'trabajo registro', 'diario equipo', 'equipo trabajo', 'seguimiento diario', 'registro actividad', 'Reunión seguimiento', '208369 Reunión'}"
Sprint Review Sprint 1.,PRSIS,2.0,"{'Review Sprint', 'Sprint Review', 'Sprint 1'}"
Sprint Review Sprint 1.,PRSIS,2.0,"{'Review Sprint', 'Sprint Review', 'Sprint 1'}"
Sprint Review Sprint 1.,PRSIS,1.0,"{'Review Sprint', 'Sprint Review', 'Sprint 1'}"
Sprint Retrospective Sprint 1.,PRSIS,2.0,"{'Sprint Retrospective', 'Sprint 1', 'Retrospective Sprint'}"
"solución a bugs 208937, 208942, 209372",COAJU,2.25,"{'solución bugs', '208937 208942', 'bugs 208937', '208942 209372'}"
Verificación y cierre de bug,PRSIS,1.0,"{'verificación cierre', 'cierre bug'}"
Pruebas de confirmación bugs solucionados,PRSIS,3.0,"{'bugs solucionado', 'confirmación bugs', 'Pruebas confirmación'}"
Pruebas de confirmación y regresión bugs solucionados,PRSIS,2.5,"{'regresión bugs', 'bugs solucionado', 'confirmación regresión', 'Pruebas confirmación'}"
Pruebas de confirmación bugs solucionados,PRSIS,1.5,"{'bugs solucionado', 'confirmación bugs', 'Pruebas confirmación'}"
Seguimiento de actividades,ASEJE,0.5,{'Seguimiento actividad'}
"Revision de Pruebas Unitarias Equidad
",ASEJE,1.0,"{'Equidad \r\n', 'Unitarias Equidad', 'Revision Pruebas', 'Pruebas Unitarias'}"
- Se levanta el ambiente de desarrollo con el mqtt de GFA con el fin de realizar varias validaciones para verificar la intermitencia de la funcionalidad de revision tecnica,ASEJE,2.0,"{'mqtt GFA', 'GFA validación', 'levantar ambiente', 'verificar intermitencia', 'revision tecnico', 'ambiente desarrollo', 'funcionalidad revision', 'validación verificar', 'desarrollo mqtt', 'intermitencia funcionalidad'}"
Sprint Retrospective Sprint 1.,PRSIS,2.0,"{'Sprint Retrospective', 'Sprint 1', 'Retrospective Sprint'}"
pruebas funcionales,PRSIS,1.0,{'prueba funcional'}
Valdiaicon de configuracion de cluster y nodos para Mqtt y pruebas de integracion,ASEJE,2.0,"{'cluster nodo', 'Mqtt prueba', 'Valdiaicon configuracion', 'prueba integracion', 'nodo Mqtt', 'configuracion cluster'}"
Daily ASW,APSEG,0.25,{'Daily ASW'}
Daily ASW,APSEG,0.25,{'Daily ASW'}
Daily ASW,APSEG,0.25,{'Daily ASW'}
Daily ASW,APSEG,0.25,{'Daily ASW'}
Daily ASW / DAVIVIENDA con Daveiva validación logros actividades de la semana,APSEG,1.0,"{'validación logro', 'Daveiva validación', 'actividad semana', 'DAVIVIENDA Daveiva', 'logro actividad', 'ASW DAVIVIENDA', 'Daily ASW'}"
Seguimiento desarrollo CTO,APSEG,0.5,"{'Seguimiento desarrollo', 'desarrollo CTO'}"
CO_1024 - Actividades Notificaciones,APSEG,1.0,"{'CO_1024 Actividades', 'Actividades Notificaciones'}"
CO_1024 - Revisión actividades 1.3 y 1.4 Notificaciones,APSEG,1.0,"{'actividad 1.3', '1.3 1.4', 'CO_1024 Revisión', '1.4 Notificaciones', 'Revisión actividad'}"
"Ya quedaron bien los datos de los archivos de PDF y Excel, pero en el archivo PDF se debe corregir una parte, pues el enzabezado sale muy pegado ya que son demasiados datos, así que se debe corregir esto.",COAJU,1.0,"{'archivo PDF', 'PDF Excel', 'PDF corregir', 'enzabezado salir', 'dato corregir', 'corregir enzabezado', 'demasiado dato', 'pegado demasiado', 'salir pegado', 'Excel archivo', 'dato archivo', 'quedar dato'}"
Revisión de Bugs de garantía de la HU_94,COAJU,1.0,"{'Revisión Bugs', 'Bugs garantía', 'garantía hu_94'}"
"Revisión de que todos los Bugs que realizo Daniela hayan quedado bien solucionados para enviarle un reporte a Danna, y comparar resultados.",COAJU,1.0,"{'realacer Daniela', 'Revisión Bugs', 'reporte Danna', 'enviar él reporte', 'comparar resultado', 'Danna comparar', 'Bugs realacer', 'quedar solucionado', 'solucionado enviar él', 'Daniela haber', 'haber quedar'}"
Revisión de error en el cual el botón para crear un negocio no hace nada,COAJU,1.0,"{'crear negocio', 'botón crear', 'Revisión error', 'error botón'}"
Corrección de error en el cual el botón para crear un negocio no hace nada,COAJU,1.0,"{'crear negocio', 'botón crear', 'error botón', 'Corrección error'}"
Pruebas sobre el flujo de modulo 10,PRSIS,3.0,"{'modulo 10', 'flujo modulo', 'Pruebas flujo'}"
Pruebas sobre el flujo de modulo 10,PRSIS,2.0,"{'modulo 10', 'flujo modulo', 'Pruebas flujo'}"
Pruebas sobre el flujo de modulo 10,PRSIS,3.0,"{'modulo 10', 'flujo modulo', 'Pruebas flujo'}"
Daily,APSEG,0.5,set()
"**RECHAZAR** FALTA ENTREGABLE SOLUCION BUGS 
Solución de bugs funcionales HU 94",COAJU,3.0,"{'HU 94', 'Solución bugs', 'bugs funcionales', 'funcionales HU', '\r\n Solución', 'falta entregable', 'SOLUCION BUGS', 'RECHAZAR falta', 'BUGS \r\n', 'entregable SOLUCION'}"
"**RECHAZAR FALTA ENTREGABLE SOLUCION BUGS** 
Solución bugs funcionales HU 94.1",COAJU,1.75,"{'bugs funcional', 'Solución bugs', 'funcional HU', 'HU 94.1', 'entregablir SOLUCION', '\r\n Solución', 'falta entregablir', 'SOLUCION BUGS', 'RECHAZAR falta', 'BUGS \r\n'}"
Seguimiento al reporte de actividades,ASEJE,2.0,"{'seguimiento reporte', 'reporte actividad'}"
acta seguimiento semanal ingeniería,APSEG,3.0,"{'seguimiento semanal', 'acto seguimiento', 'semanal ingeniería'}"
Indicador vgc mes de agosto,APSEG,3.0,"{'Indicador vgc', 'vgc mes', 'mes agosto'}"
Se realizo ejecución de las pruebas funcionales Sprint 5,PRSIS,3.0,"{'ejecución prueba', 'Sprint 5', 'realacer ejecución', 'funcional Sprint', 'prueba funcional'}"
Se realizo ejecución de las pruebas funcionales Sprint 5,PRSIS,3.0,"{'ejecución prueba', 'Sprint 5', 'realacer ejecución', 'funcional Sprint', 'prueba funcional'}"
Reunión de sprint review 6,PRSIS,2.0,"{'Reunión sprint', 'review 6', 'sprint review'}"
pruebas funcionales,PRSIS,1.0,{'prueba funcional'}
integración de JOB creado por Alvaro Acevedo,COAJU,3.0,"{'creado Alvaro', 'JOB creado', 'integración JOB', 'Alvaro Acevedo'}"
"integración de JOB creado por Alvaro Acevedo,  se realizan los ajustes necesarios en backend y en frontend se realizan pruebas de lanzamiento del job desde front pero no funciona",COAJU,3.0,"{'backend frontend', 'prueba lanzamiento', 'frontend realizar', 'Acevedo  ', 'realizar ajuste', 'front funcionar', 'realizar prueba', 'ajuste necesario', 'lanzamiento job', 'necesario backend', 'integración JOB', 'Alvaro Acevedo', '  realizar', 'creado Alvaro', 'JOB creado', 'job front'}"
"integración de JOB creado por Alvaro Acevedo, se realizan pruebas directamente desde el SQL Developer pero no funciona, se evidencia que el error es por la declaración del JOB al recibir un varchar",COAJU,2.0,"{'prueba directamente', 'error declaración', 'Acevedo realizar', 'evidenciar error', 'Developer funcionar', 'realizar prueba', 'recibir varchar', 'funcionar evidenciar', 'JOB recibir', 'integración JOB', 'Alvaro Acevedo', 'SQL Developer', 'declaración JOB', 'creado Alvaro', 'JOB creado', 'directamente SQL'}"
Reunión de seguimiento PRG,APSEG,1.0,"{'seguimiento PRG', 'reunión seguimiento'}"
se trabaja en ajustes relacionados en Construir archivo Zip para habilitacion e integracion con otros CU,COAJU,3.0,"{'integracion cu', 'archivo Zip', 'Zip habilitacion', 'ajuste relacionado', 'habilitacion integracion', 'trabajar ajuste', 'relacionado construir', 'construir archivo'}"
se trabaja en ajustes relacionados en Construir archivo Zip para habilitacion e integracion con otros CU,COAJU,2.0,"{'integracion cu', 'archivo Zip', 'Zip habilitacion', 'ajuste relacionado', 'habilitacion integracion', 'trabajar ajuste', 'relacionado construir', 'construir archivo'}"
se trabaja en ajustes relacionados en Construir archivo Zip para habilitacion e integracion con otros CU,COAJU,3.0,"{'integracion cu', 'archivo Zip', 'Zip habilitacion', 'ajuste relacionado', 'habilitacion integracion', 'trabajar ajuste', 'relacionado construir', 'construir archivo'}"
CUSISDETVFE10 - Validación y mapeo de campos para la generación del XML,APSEG,3.0,"{'cusisdetvfe10 Validación', 'campo generación', 'mapeo campo', 'generación XML', 'Validación mapeo'}"
CUSISDETVFE10 - Validación y mapeo de campos para la generación del XML,APSEG,2.0,"{'cusisdetvfe10 Validación', 'campo generación', 'mapeo campo', 'generación XML', 'Validación mapeo'}"
CUSISDETVFE10 - Validación y mapeo de campos para la generación del XML,APSEG,3.0,"{'cusisdetvfe10 Validación', 'campo generación', 'mapeo campo', 'generación XML', 'Validación mapeo'}"
Gestión correo; gestión pendientes; gestión Riesgos,APSEG,1.5,"{'Gestión correo', 'gestión pendiente', 'gestión Riesgos', 'pendiente gestión', 'correo gestión'}"
Presentaciónprototipo Zitting Module Jessica C,APSEG,1.0,"{'Zitting Module', 'Jessica C', 'Presentaciónprototipo Zitting', 'Module Jessica'}"
Ajuste de bugs de pdf poliza,COAJU,2.0,"{'Ajuste bugs', 'bugs pdf', 'pdf poliza'}"
Ajuste de bugs de pdf poliza,COAJU,2.0,"{'Ajuste bugs', 'bugs pdf', 'pdf poliza'}"
Daily con equipo,APSEG,0.5,{'Daily equipo'}
"Revisión, aclaración y entendimiento del alcance del contrato Previsora. Se establece comunicación con Leidy Florez y Luciano Vaca para revisar pendientes y dificultades",APSEG,3.0,"{'Previsora establecer', 'revisión aclaración', 'comunicación Leidy', 'pendiente dificultad', 'Luciano Vaca', 'aclaración entendimiento', 'revisar pendiente', 'Leidy Florez', 'contrato Previsora', 'Florez Luciano', 'Vaca revisar', 'establecer comunicación', 'entendimiento alcance', 'alcance contrato'}"
Tramitar las novedades de la semana enviándolas a los diferentes Scrum.,ASEJE,1.5,"{'semana enviándolar', 'tramitar novedad', 'novedad semana', 'enviándolar Scrum'}"
Revisar y autorizar horas del proyecto CO_1042 Infinity.,ASEJE,0.75,"{'proyecto CO_1042', 'hora proyecto', 'revisar autorizar', 'autorizar hora', 'CO_1042 Infinity'}"
Daily: Seguimiento,APSEG,0.5,{'Daily Seguimiento'}
Validando junto a Diana el correcto funcionamiento en el ambiente de preproducción de los programas de crédito necesarios para la ejecución de las obligaciones crediticias en el ambiente de QA y posteriormente realizar las pruebas de la HU 908,PRSIS,1.5,"{'preproducción programa', 'validar Diana', 'ambiente preproducción', 'ejecución obligación', 'obligación crediticio', 'necesario ejecución', 'QA posteriormente', 'posteriormente prueba', 'prueba HU', 'programa crédito', 'Diana correcto', 'correcto funcionamiento', 'ambiente QA', 'crediticio ambiente', 'crédito necesario', 'funcionamiento ambiente', 'HU 908'}"
"Reunión ""Anuncios parroquiales y nuevas directrices""",APSEG,1.33,"{'reunión Anuncios', 'parroquial directriz', 'Anuncios parroquial'}"
Reunión con Carlos Dávila y Francisco Ruiz,APSEG,0.67,"{'Dávila Francisco', 'Reunión Carlos', 'Francisco Ruiz', 'Carlos Dávila'}"
Revisión de actividades,APSEG,0.5,{'Revisión actividad'}
Revisión de actividades y seguimiento a TI,APSEG,1.0,"{'Revisión actividad', 'actividad seguimientir'}"
"Creación de obligación asociativa en preproducción, no se presenta error y se permite la creación de la misma, la configuración del programa es parecido al del QA",PRSIS,1.0,"{'presentar error', 'Creación obligación', 'obligación asociativo', 'programa parecer', 'permitir creación', 'error permitir', 'creación configuración', 'parecer qa', 'configuración programa', 'preproducción presentar', 'asociativo preproducción'}"
"Ajuste y pruebas con Back de los mensajes de texto, correo electrónico y push notifications",ASEJE,4.0,"{'mensaje texto', 'electrónico push', 'correo electrónico', 'prueba Back', 'texto correo', 'Ajuste prueba', 'push notifications', 'Back mensaje'}"
"Ajuste y pruebas con Back de los mensajes de texto, correo electrónico y push notifications",ASEJE,4.0,"{'mensaje texto', 'electrónico push', 'correo electrónico', 'prueba Back', 'texto correo', 'Ajuste prueba', 'push notifications', 'Back mensaje'}"
Reunión seguimiento diario,APSEG,0.33,"{'Reunión seguimiento', 'seguimiento diario'}"
Curso Oracle SOA Suit 12c para banrep,ASEJE,3.0,"{'Suit 12c', 'Oracle SOA', 'Curso Oracle', 'SOA Suit', '12c banrep'}"
Curso Oracle SOA Suit 12c para banrep,ASEJE,2.0,"{'Suit 12c', 'Oracle SOA', 'Curso Oracle', 'SOA Suit', '12c banrep'}"
Curso Oracle SOA Suit 12c para banrep,ASEJE,3.0,"{'Suit 12c', 'Oracle SOA', 'Curso Oracle', 'SOA Suit', '12c banrep'}"
correcciones para prima informada,COAJU,2.0,"{'prima informado', 'corrección prima'}"
Revision envio de documentos OnBae,COAJU,2.0,"{'Revision envio', 'envio documento', 'documento OnBae'}"
